大学名称,所在地,隶属,院士,硕士点,类型,重点学科,博士点,地址,平均线,是否985,是否211,是否自主招生
南昌工程学院,南昌,江西省教育厅,0,0,工科,4,0, 江西省南昌市高新开发区天祥大道289号,397,否,否,否
江苏科技大学,镇江,江苏省教育厅,0,60,工科,1,8, 江苏省镇江市梦溪路2号,410,否,否,否
山西传媒学院,太原,山西省教育厅,0,0,综合,0,0, 山西太原市五龙口街118号,412,否,否,否
江西科技学院,无,江西省教育厅,0,0,综合,0,0, 江西省南昌市昌东瑶湖高校园区,420,否,否,否
西安航空学院,无,陕西省教育厅,0,0,工科,0,0, 陕西省西安市西二环259号,447,否,否,否
西安科技大学高新学院,西安,陕西省教育厅,0,0,工科,0,0, 陕西省西安市子午大道中段39号,460.5,否,否,否
中国医科大学,沈阳,辽宁省教育厅,12,61,医药,34,52, 辽宁省沈阳市和平区北二马路92号,582,否,否,是
南京邮电大学,南京,江苏省教育厅,1,44,工科,4,17, 江苏省南京市新模范马路66号,545,否,否,是
电子科技大学成都学院,成都,四川省教育厅,0,0,工科,0,0, 四川省成都市高新西区百叶路1号电子科技大学成...,466,否,否,否
同济大学浙江学院,嘉兴,浙江省教育厅,0,0,综合,0,0, 浙江省嘉兴市商务大道168号,467,否,否,否
三峡大学科技学院,宜昌,湖北省教育厅,0,0,工科,0,0, 湖北省宜昌市大学路18号,467,否,否,否
哈尔滨华德学院,无,黑龙江省教育厅,0,0,工科,0,0, 哈尔滨市利民开发区学院路5号,467,否,否,否
成都东软学院,无,四川省教育厅,0,0,工科,0,0, 四川省成都市都江堰青城山镇东软大道一号,467,否,否,否
长春科技学院,长春,吉林省教育厅,0,0,农业,0,0, 吉林省长春市双阳区东华大街1699号,468,否,否,否
东华理工大学长江学院,南昌,江西省教育厅,0,0,工科,0,0, 江西省抚州市羊城路154号,468,否,否,否
昆明理工大学津桥学院,昆明,云南省教育厅,0,0,工科,0,0, 云南省昆明市国家高新技术产业开发区海源北路1...,468,否,否,否
安徽财经大学商学院,蚌埠,安徽省教育厅,0,0,财经,0,0, 安徽省蚌埠市宏业路255号,469,否,否,否
石家庄铁道大学四方学院,石家庄,河北省教育厅,0,0,工科,0,0, 石家庄市装院路甲一号,469,否,否,否
长沙理工大学城南学院,长沙,湖南省教育厅,0,0,工科,0,0, 湖南省长沙市赤岭路45号,469,否,否,否
厦门大学嘉庚学院,厦门,福建省教育厅,0,0,综合,0,0, 福建省招商局漳州开发区厦门大学漳州校区嘉庚学...,470,否,否,否
青岛农业大学海都学院,莱阳,山东省教育厅,0,0,综合,0,0, 山东省莱阳市文化路65号,470,否,否,否
济南大学泉城学院,济南,山东省教育厅,0,0,综合,0,0, 山东省济南市舜耕路13号,470,否,否,否
南京邮电大学通达学院,南京,江苏省教育厅,0,0,综合,0,0, 南京市新模范马路66号,470,否,否,否
无锡太湖学院,无,江苏省教育厅,0,0,综合,0,0, 江苏省无锡市钱荣路68号,470,否,否,否
武昌理工学院,武汉,湖北省教育厅,0,0,工科,0,0, 武汉市武昌江夏大道18号,470,否,否,否
石家庄经济学院华信学院,石家庄,河北省教育厅,0,0,财经,0,0, 河北省石家庄市汇丰路18号,471,否,否,否
河北工程大学科信学院,邯郸,河北省教育厅,0,0,工科,0,0, 河北省邯郸市光明南大街199号,471,否,否,否
沈阳工学院,抚顺,辽宁省教育厅,0,0,工科,0,0, 辽宁省抚顺经济开发区滨河路东段1号,471,否,否,否
长春建筑学院,无,吉林省教育厅,0,0,工科,0,0, 吉林省长春市双阳区奢岭高校园区,471,否,否,否
长春财经学院,长春,吉林省教育厅,0,0,综合,0,0, 长春市净月经济开发区擎天树街58号,472,否,否,否
